profession_code;profession_name;active;category;date_creation;date_creation_mistake;date_modify;date_modify_mistake;deleted;etks
147718;Набивальщик трубчатых электронагревателей;t;2-4;2015-04-21;0;2015-04-21;0;f;19
449398;Начальник службы сигнализации и связи;t;1;2015-04-21;0;2015-04-21;0;f;
139868;Машинист печатно-высекательного агрегата;t;3-5;2015-04-21;0;2015-04-21;0;f;41
219418;Заведующий видеотекой;t;1;2015-04-21;0;2015-04-21;0;f;
207980;Главный ландшафтный архитектор проекта;t;1;2015-04-21;0;2015-04-21;0;f;
209011;Главный специалист в аппарате Генеральной прокуратуры Российской Федерации;t;2;2015-04-21;0;2015-04-21;0;f;
189664;Сушильщик пергаментной машины;t;2-3;2015-04-21;0;2015-04-21;0;f;41
191706;Тоннельщик;t;2-4;2015-04-21;0;2015-04-21;0;f;42
112808;Бронзировщик рам клавишных инструментов;t;4;2015-04-21;0;2015-04-21;0;f;63
128670;Комплектовщик моделей;t;2-4;2015-04-21;0;2015-04-21;0;f;2
191922;Травильщик радиокерамики;t;2-3;2015-04-21;0;2015-04-21;0;f;20
185423;Слесарь по ремонту путевых машин и механизмов;t;2-6;2015-04-21;0;2015-04-21;0;f;2
175857;Разборщик пакетов;t;2-3;2015-04-21;0;2015-04-21;0;f;24
121328;Загрузчик термических печей;t;1-4;2015-04-21;0;2015-04-21;0;f;7
198211;Электромонтер диспетчерского оборудования и телеавтоматики;t;1-6;2015-04-21;0;2015-04-21;0;f;1
201039;Артист - буффонадный клоун;t;2;2015-04-21;0;2015-04-21;0;f;
158943;Оператор поста централизации;t;2-4;2015-04-21;0;2015-04-21;0;f;56
225724;Инженер по землеустройству;t;2;2015-04-21;0;2015-04-21;0;f;
112672;Бригадир участка приготовления формовочной смеси;t;;2015-04-21;0;2015-04-21;0;f;7
256953;Председатель кооператива (на транспорте, в связи, материально-техническом снабжении и сбыте);t;1;2015-04-21;0;2015-04-21;0;f;
137699;Машинист компрессора для подачи воздуха водолазам;t;5;2015-04-21;0;2015-04-21;0;f;3
134934;Матрос пожарный;t;4-5;2015-04-21;0;2015-04-21;0;f;56
190224;Съемщик изделий;t;;2015-04-21;0;2015-04-21;0;f;45
197863;Электромеханик по ремонту и обслуживанию медицинского рентгеновского оборудования;t;3-6;2015-04-21;0;2015-04-21;0;f;16
207548;Главный инженер (в сельском, охотничьем, лесном и рыбном хозяйстве);t;1;2015-04-21;0;2015-04-21;0;f;
473378;Физик (контролирующий) критического стенда;t;2;2015-04-21;0;2015-04-21;0;f;
203246;Биофизик;t;2;2015-04-21;0;2015-04-21;0;f;
184420;Скрутчик изделий кабельного производства;t;2-4;2015-04-21;0;2015-04-21;0;f;19
135585;Машинист баровой установки;t;4-6;2015-04-21;0;2015-04-21;0;f;3
108003;Аппаратчик производства кремнийорганических лаков;t;4, 6;2015-04-21;0;2015-04-21;0;f;25
247653;Начальник отряда (в сельском хозяйстве);t;1;2015-04-21;0;2015-04-21;0;f;
180970;Рыбовод;t;1-7;2015-04-21;0;2015-04-21;0;f;54
208983;Главный специалист в аппарате Верховного Суда Российской Федерации;t;2;2015-04-21;0;2015-04-21;0;f;
103851;Аппаратчик-нейтрализаторщик;t;3-5;2015-04-21;0;2015-04-21;0;f;48
198781;Электромонтер станционного оборудования радиорелейных линий связи;t;3-6;2015-04-21;0;2015-04-21;0;f;58
154285;Окантовщик сепараторных пластин;t;1-2;2015-04-21;0;2015-04-21;0;f;29
196413;Шлифовщик изделий, полуфабрикатов и материалов;t;2-5;2015-04-21;0;2015-04-21;0;f;48
245785;Начальник комплекса (на транспорте, в связи, материально-техническом снабжении и сбыте);t;1;2015-04-21;0;2015-04-21;0;f;
355595;Оператор герметизации блочков;t;;2015-04-21;0;2015-04-21;0;f;73
177338;Раскрасчик диапозитивов и фотоотпечатков;t;1-5;2015-04-21;0;2015-04-21;0;f;60
215563;Директор театра;t;1;2015-04-21;0;2015-04-21;0;f;
119099;Дробильщик;t;1-5;2015-04-21;0;2015-04-21;0;f;42
138530;Машинист машины для изоляции газонефтепродуктопроводов;t;4-6;2015-04-21;0;2015-04-21;0;f;3
147671;Набивальщик валиков и фильтров;t;2;2015-04-21;0;2015-04-21;0;f;56
158229;Оператор подземных газогенераторов;t;5-6;2015-04-21;0;2015-04-21;0;f;36
133652;Лебедчик на трелевке леса;t;5-6;2015-04-21;0;2015-04-21;0;f;39
244481;Начальник вахты шлюза;t;1;2015-04-21;0;2015-04-21;0;f;
158021;Оператор плетельного оборудования;t;3;2015-04-21;0;2015-04-21;0;f;47
154798;Оператор автоматической линии изготовления белого карандаша;t;6;2015-04-21;0;2015-04-21;0;f;40
183319;Сварщик выпрямителей;t;3-4;2015-04-21;0;2015-04-21;0;f;20
103315;Аппаратчик-краскотер;t;3-4;2015-04-21;0;2015-04-21;0;f;26
186163;Смотритель огней;t;3;2015-04-21;0;2015-04-21;0;f;56
206992;Главный гидротехник (на транспорте);t;1;2015-04-21;0;2015-04-21;0;f;
233542;Капитан (старший моторист - рулевой) патрульного, спасательного катера;t;1;2015-04-21;0;2015-04-21;0;f;
165580;Печатник на линолеуме;t;3-5;2015-04-21;0;2015-04-21;0;f;27
203424;Бухгалтер-эксперт;t;2;2015-04-21;0;2015-04-21;0;f;
258624;Производитель гидрографических работ;t;1;2015-04-21;0;2015-04-21;0;f;
179097;Резчик материалов и изделий;t;1-4;2015-04-21;0;2015-04-21;0;f;47
195340;Центрифуговщик;t;3-4;2015-04-21;0;2015-04-21;0;f;31
168235;Полировщик формных цилиндров глубокой печати;t;3;2015-04-21;0;2015-04-21;0;f;59
180311;Рессорщик на обработке горячего металла;t;2-5;2015-04-21;0;2015-04-21;0;f;2
135424;Машинист агрегата искусственного бархата;t;2, 4;2015-04-21;0;2015-04-21;0;f;41
108357;Аппаратчик производства продукции из кожевенных и коллагенсодержащих отходов;t;;2015-04-21;0;2015-04-21;0;f;45
121277;Загрузчик сушильных барабанов;t;3;2015-04-21;0;2015-04-21;0;f;42
131601;Кочегар сушильных печей и барабанов;t;2-3;2015-04-21;0;2015-04-21;0;f;44
255861;Помощник (советник) Первого заместителя Председателя Правительства Российской Федерации;t;2;2015-04-21;0;2015-04-21;0;f;
383434;Сварщик-оператор;t;;2015-04-21;0;2015-04-21;0;f;73
208061;Главный мелиоратор;t;1;2015-04-21;0;2015-04-21;0;f;
123465;Изготовитель лекал;t;3;2015-04-21;0;2015-04-21;0;f;48
195251;Цветочница;t;1-4;2015-04-21;0;2015-04-21;0;f;47
130435;Контролер производства стекловолокна и стеклопластиков;t;2-5;2015-04-21;0;2015-04-21;0;f;29
163759;Отладчик изделий в опечки;t;2;2015-04-21;0;2015-04-21;0;f;44
325960;Испытатель на критическом стенде;t;;2015-04-21;0;2015-04-21;0;f;73
448605;Начальник радиационной установки;t;1;2015-04-21;0;2015-04-21;0;f;
262244;Руководитель федерального органа исполнительной власти (кроме федерального министерства);t;1;2015-04-21;0;2015-04-21;0;f;
267869;Судья федерального суда;t;1;2015-04-21;0;2015-04-21;0;f;
105408;Аппаратчик - поливщик фотоэмульсий;t;2-6;2015-04-21;0;2015-04-21;0;f;34
245094;Начальник дирекции по обслуживанию пассажиров;t;1;2015-04-21;0;2015-04-21;0;f;
164338;Парафинировщик художественных изделий;t;2;2015-04-21;0;2015-04-21;0;f;65
222923;Заместитель руководителя Секретариата Председателя Высшего Арбитражного Суда Российской Федерации;t;1;2015-04-21;0;2015-04-21;0;f;
150602;Намотчик электромагнитных сердечников;t;1-2;2015-04-21;0;2015-04-21;0;f;19
246631;Начальник механизированного зернохранилища;t;1;2015-04-21;0;2015-04-21;0;f;
119760;Заварщик на высокочастотном индукторе;t;2-6;2015-04-21;0;2015-04-21;0;f;20
193044;Упаковщик электродов;t;2-3;2015-04-21;0;2015-04-21;0;f;14
114146;Вафельщик;t;2-3;2015-04-21;0;2015-04-21;0;f;52
170818;Прессовщик плит из тростника;t;2-4;2015-04-21;0;2015-04-21;0;f;39
244706;Начальник гидроузла (шлюза);t;1;2015-04-21;0;2015-04-21;0;f;
142733;Машинист трубогибочной установки передвижной;t;4-5;2015-04-21;0;2015-04-21;0;f;3
265933;Специалист по экологическому просвещению;t;2;2015-04-21;0;2015-04-21;0;f;
169079;Помощник шкипера;t;;2015-04-21;0;2015-04-21;0;f;56
